name,prompt,negative_prompt
Kamph_Default_Negative (NO),,"BREAK Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers"
Kamph_Default_Negative (sfw) (NO),,"BREAK NSFW, Cleavage, Pubic Hair, Nudity, Naked, Au naturel, Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers"
Kamph_Default_Negative (Low Token) (NO),,"BREAK lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
Kamph_Skin Enhancer (PO),"detailed skin texture, (blush:0.5), (goosebumps:0.5), subsurface scattering",
Kamph_Skin Enhancer (clean)(PO),"detailed skin texture, (blush:0.2), (goosebumps:0.3), subsurface scattering",
Kamph_Ghibli (PO),"(Studio ghibli style, Art by Hayao Miyazaki:1.2), Anime Style, Manga Style, Hand drawn, cinematic, Sharp focus, humorous illustration, big depth of field, Masterpiece, concept art, trending on artstation, Vivid colors, Simplified style, trending on ArtStation, trending on CGSociety, Intricate, Vibrant colors, Soft Shading, Simplistic Features, Sharp Angles, Playful",
Kamph_Vector Illustrations (PO),"Vector art, Vivid colors, Clean lines, Sharp edges, Minimalist, Precise geometry, Simplistic, Smooth curves, Bold outlines, Crisp shapes, Flat colors, Illustration art piece, High contrast shadows, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art",
Kamph_Digital Painting (PO),"glow effects, godrays, Hand drawn, render, 8k, octane render, cinema 4d, blender, dark, atmospheric 4k ultra detailed, cinematic, Sharp focus, big depth of field, Masterpiece, colors, 3d octane render, 4k, concept art, trending on artstation, hyperrealistic, Vivid colors, extremely detailed CG unity 8k wallpaper, trending on CGSociety, Intricate, High Detail, dramatic",
Kamph_Indie Game (PO),"Indie game art, Vector Art, Borderlands style, Arcane style, Cartoon style, Line art, Distinct features, Hand drawn, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, trending on artstation, Vivid colors, trending on ArtStation, trending on CGSociety, Intricate, Low Detail, dramatic",
Kamph_Original Photo Style (PO),"Photorealistic, Hyperrealistic, Hyperdetailed, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
Kamph_Black and White Film Noir (PO),"(b&w, Monochromatic, Film Photography:1.3),  Photorealistic, Hyperrealistic, Hyperdetailed, film noir, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
Kamph_Isometric Rooms (PO),"Tiny cute isometric in a cutaway box, soft smooth lighting, soft colors, 100mm lens, 3d blender render",
Kamph_Space Hologram (PO),"hologram floating in space, a vibrant digital illustration, dribbble, quantum wavetracing, black background, behance hd",
Kamph_Cute Creatures (PO),"3d fluffy, closeup cute and adorable, cute big circular reflective eyes, long fuzzy fur, Pixar render, unreal engine cinematic smooth, intricate detail, cinematic",
Kamph_Realistic Photo Portraits (PO),"RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera",
Kamph_Professional Scenic Photographs (PO),"long shot scenic professional photograph of BREAK {prompt} BREAK, perfect viewpoint, highly detailed, wide-angle lens, hyper realistic, with dramatic sky, polarizing filter, natural lighting, vivid colors, everything in sharp focus, HDR, UHD, 64K",
"Voodoo negative (NO)",,"BREAK cropped, simple background, missing hand, amputee, extra hands, cripple, mutated limbs, loli, lolicon, menu, ui, ux, user interface, mismatched eyes, malformed breasts, (bad_prompt_version2:0.8)"
"Terse negative (NO)",,"BREAK (worst quality, low quality:1.4), loli, lolicon, text, watermark, signature"
"Ultra-terse negative (NO)",,"BREAK EasyNegative, loli, lolicon, text, watermark, signature"
"Default negative (NO)",,"BREAK EasyNegativeV2, (nsfw), bad-hands-5, badhandv4"
"Aurora (PO)","{prompt} BREAK SLE, mksks style, detailed background",
"Inkpunk (PO)","{prompt} BREAK nvinkpunk, modelshoot style, (extremely detailed 8k wallpaper)",
"BlazingRealDrive","(photorealistic:1.4) BREAK {prompt}","BREAK (worst quality:1.8), camera, logo"
"Style #1 DFM (PO)","{prompt} BREAK by Roger Dean, by Kelly Freas and (Alphonse Mucha:0.5)",
"Style #2 FE (PO)","{prompt} BREAK by Kelly Freas and Ed Emshwiller",
"Style #3 Art deco poster (PO)","art deco propaganda poster for BREAK {prompt}",
"Style #4 Pop art (PO)","art by Ravi Zupa BREAK A vibrant pop art-inspired illustration featuring BREAK {prompt} BREAK with psychedelic patterns, exaggerated features, and bold, contrasting colors",
"Style #4 Splash art (PO)","(surreal abstract minimalist cubism ink fusion with alcohol ink painting) , vintage colour grading BREAK {prompt} BREAK sparse, few random straight lines, surreal, bizarre, absurd [Kandinsky|Lissitzky|Malevich], minimalism",
"Style #5 Neon glitch (PO)","(colorful shadow art, shadow silhouette:1.3) BREAK {prompt} BREAK (etching, neon tech imprint, blueprint glitch imprint:1.2)",
"Style #6 Purple haze (PO)","{prompt} BREAK style of Junko Mizuno, style of Ed Mell BREAK illustration, cover art, pastel, flat color, abstract",
"Style #7 Edwardian (PO)","{prompt} BREAK by Zhang Xiaogang, Theophile Alexandre Steinlen and David Hockney",
"Style #8 Wash (PO)","{prompt} BREAK (line art, irregular loose watercolor ink wash, bright bold colors, expressive brush strokes:1.2)",
"Style #9 Sketch (PO)","{prompt} BREAK (preliminary sketch, outlines, monochrome, incomplete, unfinished, (white space), line art:1.2)",
"Style #10 picturebook (PO)","{prompt} (traditional media:1.3) (brush stroke ink:0.8) (crayon:1.2) (illustration:1.3), (Yoji Shinkawa), Loish, (John Bauer)",
"Style #11 rust (PO)","{prompt} BREAK by john bauer, alessandro gottardo, wäinö aaltonen BREAK (flat color, line art, dark black and rust:1.5)",
"Style #11a just rust (PO)","{prompt} BREAK (flat color, line art, dark black and rust:1.5)",
"Style #12 vignette (PO)","{prompt} BREAK [(white background:1.5),::5] ",
"Style #13 frfr (NO)",,"BREAK (outlines, line art:1.5), shading"
"Style #14 esoteric (PO)","{prompt} BREAK (Illuminati, Atlantis, Codex Seraphinianus, voynich manuscript:1.2)",
cinematic_still,"cinematic still BREAK {prompt} BREAK emotional, harmonious, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","BREAK anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
sai-3d-model,"professional 3d model BREAK {prompt} BREAK octane render, highly detailed, volumetric, dramatic lighting","BREAK ugly, deformed, noisy, low poly, blurry, painting"
sai-analog film,"analog film photo BREAK {prompt} BREAK faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","BREAK painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
sai-anime,"anime artwork BREAK {prompt} BREAK anime style, key visual, vibrant, studio anime,  highly detailed","BREAK photo, deformed, black and white, realism, disfigured, low contrast"
sai-cinematic,"cinematic film still BREAK {prompt} BREAK shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","BREAK anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
sai-comic book,"comic BREAK {prompt} BREAK graphic illustration, comic art, graphic novel art, vibrant, highly detailed","BREAK photograph, deformed, glitch, noisy, realistic, stock photo"
sai-craft clay,"play-doh style BREAK {prompt} BREAK sculpture, clay art, centered composition, Claymation","BREAK sloppy, messy, grainy, highly detailed, ultra textured, photo"
sai-digital art,"concept art BREAK {prompt} BREAK digital artwork, illustrative, painterly, matte painting, highly detailed","BREAK photo, photorealistic, realism, ugly"
sai-enhance,"breathtaking BREAK {prompt} BREAK award-winning, professional, highly detailed","BREAK ugly, deformed, noisy, blurry, distorted, grainy"
sai-fantasy art,"ethereal fantasy concept art of  BREAK {prompt} BREAK magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","BREAK photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white"
sai-isometric,"isometric style BREAK {prompt} BREAK vibrant, beautiful, crisp, detailed, ultra detailed, intricate","BREAK deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic"
sai-line art,"line art drawing BREAK {prompt} BREAK professional, sleek, modern, minimalist, graphic, line art, vector graphics","BREAK anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic"
sai-lowpoly,"low-poly style BREAK {prompt} BREAK low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","BREAK noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
sai-neonpunk,"neonpunk style BREAK {prompt} BREAK cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","BREAK painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
sai-origami,"origami style BREAK {prompt} BREAK paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","BREAK noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
sai-photographic,"cinematic photo BREAK {prompt} BREAK 35mm photograph, film, bokeh, professional, 4k, highly detailed","BREAK drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
sai-pixel art,"pixel-art BREAK {prompt} BREAK low-res, blocky, pixel art style, 8-bit graphics","BREAK sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic"
sai-texture,"texture BREAK {prompt} BREAK top down close-up","ugly, deformed, noisy, blurry"
ads-advertising,"Advertising poster style BREAK {prompt} BREAK Professional, modern, product-focused, commercial, eye-catching, highly detailed","BREAK noisy, blurry, amateurish, sloppy, unattractive"
ads-automotive,"Automotive advertisement style BREAK {prompt} BREAK Sleek, dynamic, professional, commercial, vehicle-focused, high-resolution, highly detailed","BREAK noisy, blurry, unattractive, sloppy, unprofessional"
ads-corporate,"Corporate branding style BREAK {prompt} BREAK Professional, clean, modern, sleek, minimalist, business-oriented, highly detailed","BREAK noisy, blurry, grungy, sloppy, cluttered, disorganized"
ads-fashion editorial,"Fashion editorial style BREAK {prompt} BREAK High fashion, trendy, stylish, editorial, magazine style, professional, highly detailed","BREAK outdated, blurry, noisy, unattractive, sloppy"
ads-food photography,"Food photography style BREAK {prompt} BREAK Appetizing, professional, culinary, high-resolution, commercial, highly detailed","BREAK unappetizing, sloppy, unprofessional, noisy, blurry"
ads-luxury,"Luxury product style BREAK {prompt} BREAK Elegant, sophisticated, high-end, luxurious, professional, highly detailed","BREAK cheap, noisy, blurry, unattractive, amateurish"
ads-real estate,"Real estate photography style BREAK {prompt} BREAK Professional, inviting, well-lit, high-resolution, property-focused, commercial, highly detailed","BREAK dark, blurry, unappealing, noisy, unprofessional"
ads-retail,"Retail packaging style BREAK {prompt} BREAK Vibrant, enticing, commercial, product-focused, eye-catching, professional, highly detailed","BREAK noisy, blurry, amateurish, sloppy, unattractive"
artstyle-abstract,"abstract style BREAK {prompt} BREAK non-representational, colors and shapes, expression of feelings, imaginative, highly detailed","BREAK realistic, photographic, figurative, concrete"
artstyle-abstract expressionism,"abstract expressionist painting BREAK {prompt} BREAK energetic brushwork, bold colors, abstract forms, expressive, emotional","BREAK realistic, photorealistic, low contrast, plain, simple, monochrome"
artstyle-art deco,"Art Deco style BREAK {prompt} BREAK geometric shapes, bold colors, luxurious, elegant, decorative, symmetrical, ornate, detailed","BREAK ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, modernist, minimalist"
artstyle-art nouveau,"Art Nouveau style BREAK {prompt} BREAK elegant, decorative, curvilinear forms, nature-inspired, ornate, detailed","BREAK ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, modernist, minimalist"
artstyle-constructivist,"constructivist style BREAK {prompt} BREAK geometric shapes, bold colors, dynamic composition, propaganda art style","BREAK realistic, photorealistic, low contrast, plain, simple, abstract expressionism"
artstyle-cubist,"cubist artwork BREAK {prompt} BREAK geometric shapes, abstract, innovative, revolutionary","BREAK anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy"
artstyle-expressionist,"expressionist BREAK {prompt} BREAK raw, emotional, dynamic, distortion for emotional effect, vibrant, use of unusual colors, detailed","BREAK realism, symmetry, quiet, calm, photo"
artstyle-graffiti,"graffiti style BREAK {prompt} BREAK street art, vibrant, urban, detailed, tag, mural","BREAK ugly, deformed, noisy, blurry, low contrast, realism, photorealistic"
artstyle-hyperrealism,"hyperrealistic art BREAK {prompt} BREAK extremely high-resolution details, photographic, realism pushed to extreme, fine texture, incredibly lifelike","BREAK simplified, abstract, unrealistic, impressionistic, low resolution"
artstyle-impressionist,"impressionist painting BREAK {prompt} BREAK loose brushwork, vibrant color, light and shadow play, captures feeling over form","BREAK anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy"
artstyle-pointillism,"pointillism style BREAK {prompt} BREAK composed entirely of small, distinct dots of color, vibrant, highly detailed","BREAK line drawing, smooth shading, large color fields, simplistic"
artstyle-pop art,"Pop Art style BREAK {prompt} BREAK bright colors, bold outlines, popular culture themes, ironic or kitsch","BREAK ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, minimalist"
artstyle-psychedelic,"psychedelic style BREAK {prompt} BREAK vibrant colors, swirling patterns, abstract forms, surreal, trippy","BREAK monochrome, black and white, low contrast, realistic, photorealistic, plain, simple"
artstyle-renaissance,"Renaissance style BREAK {prompt} BREAK realistic, perspective, light and shadow, religious or mythological themes, highly detailed","BREAK ugly, deformed, noisy, blurry, low contrast, modernist, minimalist, abstract"
artstyle-steampunk,"steampunk style BREAK {prompt} BREAK antique, mechanical, brass and copper tones, gears, intricate, detailed","BREAK deformed, glitch, noisy, low contrast, anime, photorealistic"
artstyle-surrealist,"surrealist art BREAK {prompt} BREAK dreamlike, mysterious, provocative, symbolic, intricate, detailed","BREAK anime, photorealistic, realistic, deformed, glitch, noisy, low contrast"
artstyle-typography,"typographic art BREAK {prompt} BREAK stylized, intricate, detailed, artistic, text-based","BREAK ugly, deformed, noisy, blurry, low contrast, realism, photorealistic"
artstyle-watercolor,"watercolor painting BREAK {prompt} BREAK vibrant, beautiful, painterly, detailed, textural, artistic","BREAK anime, photorealistic, 35mm film, deformed, glitch, low contrast, noisy"
futuristic-biomechanical,"biomechanical style BREAK {prompt} BREAK blend of organic and mechanical elements, futuristic, cybernetic, detailed, intricate","BREAK natural, rustic, primitive, organic, simplistic"
futuristic-biomechanical cyberpunk,"biomechanical cyberpunk BREAK {prompt} BREAK cybernetics, human-machine fusion, dystopian, organic meets artificial, dark, intricate, highly detailed","BREAK natural, colorful, deformed, sketch, low contrast, watercolor"
futuristic-cybernetic,"cybernetic style BREAK {prompt} BREAK futuristic, technological, cybernetic enhancements, robotics, artificial intelligence themes","BREAK ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval"
futuristic-cybernetic robot,"cybernetic robot BREAK {prompt} BREAK android, AI, machine, metal, wires, tech, futuristic, highly detailed","BREAK organic, natural, human, sketch, watercolor, low contrast"
futuristic-cyberpunk cityscape,"cyberpunk cityscape BREAK {prompt} BREAK neon lights, dark alleys, skyscrapers, futuristic, vibrant colors, high contrast, highly detailed","BREAK natural, rural, deformed, low contrast, black and white, sketch, watercolor"
futuristic-futuristic,"futuristic style BREAK {prompt} BREAK sleek, modern, ultramodern, high tech, detailed","BREAK ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vintage, antique"
futuristic-retro cyberpunk,"retro cyberpunk BREAK {prompt} BREAK 80's inspired, synthwave, neon, vibrant, detailed, retro futurism","BREAK modern, desaturated, black and white, realism, low contrast"
futuristic-retro futurism,"retro-futuristic BREAK {prompt} BREAK vintage sci-fi, 50s and 60s style, atomic age, vibrant, highly detailed","BREAK contemporary, realistic, rustic, primitive"
futuristic-sci-fi,"sci-fi style BREAK {prompt} BREAK futuristic, technological, alien worlds, space themes, advanced civilizations","BREAK ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, historical, medieval"
futuristic-vaporwave,"vaporwave style BREAK {prompt} BREAK retro aesthetic, cyberpunk, vibrant, neon colors, vintage 80s and 90s style, highly detailed","BREAK monochrome, muted colors, realism, rustic, minimalist, dark"
game-bubble bobble,"Bubble Bobble style BREAK {prompt} BREAK 8-bit, cute, pixelated, fantasy, vibrant, reminiscent of Bubble Bobble game","BREAK realistic, modern, photorealistic, violent, horror"
game-cyberpunk game,"cyberpunk game style BREAK {prompt} BREAK neon, dystopian, futuristic, digital, vibrant, detailed, high contrast, reminiscent of cyberpunk genre video games","BREAK historical, natural, rustic, low detailed"
game-fighting game,"fighting game style BREAK {prompt} BREAK dynamic, vibrant, action-packed, detailed character design, reminiscent of fighting video games","BREAK peaceful, calm, minimalist, photorealistic"
game-gta,"GTA-style artwork BREAK {prompt} BREAK satirical, exaggerated, pop art style, vibrant colors, iconic characters, action-packed","BREAK realistic, black and white, low contrast, impressionist, cubist, noisy, blurry, deformed"
game-mario,"Super Mario style BREAK {prompt} BREAK vibrant, cute, cartoony, fantasy, playful, reminiscent of Super Mario series","BREAK realistic, modern, horror, dystopian, violent"
game-minecraft,"Minecraft style BREAK {prompt} BREAK blocky, pixelated, vibrant colors, recognizable characters and objects, game assets","BREAK smooth, realistic, detailed, photorealistic, noise, blurry, deformed"
game-pokemon,"Pokémon style BREAK {prompt} BREAK vibrant, cute, anime, fantasy, reminiscent of Pokémon series","BREAK realistic, modern, horror, dystopian, violent"
game-retro arcade,"retro arcade style BREAK {prompt} BREAK 8-bit, pixelated, vibrant, classic video game, old school gaming, reminiscent of 80s and 90s arcade games","BREAK modern, ultra-high resolution, photorealistic, 3D"
game-retro game,"retro game art BREAK {prompt} BREAK 16-bit, vibrant colors, pixelated, nostalgic, charming, fun","BREAK realistic, photorealistic, 35mm film, deformed, glitch, low contrast, noisy"
game-rpg fantasy game,"role-playing game (RPG) style fantasy BREAK {prompt} BREAK detailed, vibrant, immersive, reminiscent of high fantasy RPG games","BREAK sci-fi, modern, urban, futuristic, low detailed"
game-strategy game,"strategy game style BREAK {prompt} BREAK overhead view, detailed map, units, reminiscent of real-time strategy video games","BREAK first-person view, modern, photorealistic"
game-streetfighter,"Street Fighter style BREAK {prompt} BREAK vibrant, dynamic, arcade, 2D fighting game, highly detailed, reminiscent of Street Fighter series","BREAK 3D, realistic, modern, photorealistic, turn-based strategy"
game-zelda,"Legend of Zelda style BREAK {prompt} BREAK vibrant, fantasy, detailed, epic, heroic, reminiscent of The Legend of Zelda series","BREAK sci-fi, modern, realistic, horror"
misc-architectural,"architectural style BREAK {prompt} BREAK clean lines, geometric shapes, minimalist, modern, architectural drawing, highly detailed","BREAK curved lines, ornate, baroque, abstract, grunge"
misc-disco,"disco-themed BREAK {prompt} BREAK vibrant, groovy, retro 70s style, shiny disco balls, neon lights, dance floor, highly detailed","BREAK minimalist, rustic, monochrome, contemporary, simplistic"
misc-dreamscape,"dreamscape BREAK {prompt} BREAK surreal, ethereal, dreamy, mysterious, fantasy, highly detailed","BREAK realistic, concrete, ordinary, mundane"
misc-dystopian,"dystopian style BREAK {prompt} BREAK bleak, post-apocalyptic, somber, dramatic, highly detailed","BREAK ugly, deformed, noisy, blurry, low contrast, cheerful, optimistic, vibrant, colorful"
misc-fairy tale,"fairy tale BREAK {prompt} BREAK magical, fantastical, enchanting, storybook style, highly detailed","BREAK realistic, modern, ordinary, mundane"
